"date","minutes_url","jornada_number","visitor_team_name","visitor_team_id","season","time","categoria_id","local_points","visitor_points","local_team_id","local_team_name"
"01/10/2016","liga_eacta.php?IDENCUENTRO=131701011&EL=LICEO DE NOIA&EV=CD DEZ PORTAS LUGAUTO&IDJORNADA=100&IDNIVEL=17#acta","1","CD DEZ PORTAS LUGAUTO","16104","2016-2017","16:00","17","6","0","16010","LICEO DE NOIA"
"01/10/2016","liga_eacta.php?IDENCUENTRO=131701012&EL=ARENAL CTM MILAGROSA&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","1","C.T.M. CORUÑA","796","2016-2017","17:00","17","3","4","16008","ARENAL CTM MILAGROSA"
"01/10/2016","liga_eacta.php?IDENCUENTRO=131701013&EL=ARTEAL&EV=CLUB DEL MAR PROMESAS&IDJORNADA=100&IDNIVEL=17#acta","1","CLUB DEL MAR PROMESAS","1007","2016-2017","17:00","17","1","5","1274","ARTEAL"
"01/10/2016","liga_eacta.php?IDENCUENTRO=131701014&EL=CLUB FERROL TM&EV=MONTE PORREIRO PUB PATRIMONIO&IDJORNADA=100&IDNIVEL=17#acta","1","MONTE PORREIRO PUB PATRIMONIO","16009","2016-2017","17:00","17","3","4","10504","CLUB FERROL TM"
"01/10/2016","liga_eacta.php?IDENCUENTRO=131701015&EL=NARONENSE&EV=MERCANTIL VIGO TENIS DE MESA&IDJORNADA=100&IDNIVEL=17#acta","1","MERCANTIL VIGO TENIS DE MESA","14025","2016-2017","18:00","17","2","4","10490","NARONENSE"
"02/10/2016","liga_eacta.php?IDENCUENTRO=131701016&EL=LICEO CASINO&EV=HELIOS BEMBRIVE, T.M.&IDJORNADA=100&IDNIVEL=17#acta","1","HELIOS BEMBRIVE, T.M.","832","2016-2017","11:00","17","1","5","10573","LICEO CASINO"
"08/10/2016","liga_eacta.php?IDENCUENTRO=131701021&EL=CD DEZ PORTAS LUGAUTO&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","2","CLUB FERROL TM","10504","2016-2017","17:00","17","4","2","16104","CD DEZ PORTAS LUGAUTO"
"08/10/2016","liga_eacta.php?IDENCUENTRO=131701022&EL=C.T.M. CORUÑA&EV=LICEO DE NOIA&IDJORNADA=100&IDNIVEL=17#acta","2","LICEO DE NOIA","16010","2016-2017","17:00","17","2","4","796","C.T.M. CORUÑA"
"08/10/2016","liga_eacta.php?IDENCUENTRO=131701023&EL=HELIOS BEMBRIVE, T.M.&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","2","NARONENSE","10490","2016-2017","17:00","17","6","0","832","HELIOS BEMBRIVE, T.M."
"09/10/2016","liga_eacta.php?IDENCUENTRO=131701024&EL=MERCANTIL VIGO TENIS DE MESA&EV=ARENAL CTM MILAGROSA&IDJORNADA=100&IDNIVEL=17#acta","2","ARENAL CTM MILAGROSA","16008","2016-2017","11:00","17","4","2","14025","MERCANTIL VIGO TENIS DE MESA"
"09/10/2016","liga_eacta.php?IDENCUENTRO=131701025&EL=MONTE PORREIRO PUB PATRIMONIO&EV=ARTEAL&IDJORNADA=100&IDNIVEL=17#acta","2","ARTEAL","1274","2016-2017","11:00","17","4","2","16009","MONTE PORREIRO PUB PATRIMONIO"
"09/10/2016","liga_eacta.php?IDENCUENTRO=131701026&EL=CLUB DEL MAR PROMESAS&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","2","LICEO CASINO","10573","2016-2017","11:00","17","3","4","1007","CLUB DEL MAR PROMESAS"
"15/10/2016","liga_eacta.php?IDENCUENTRO=131701031&EL=CLUB FERROL TM&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","3","C.T.M. CORUÑA","796","2016-2017","17:00","17","5","1","10504","CLUB FERROL TM"
"15/10/2016","liga_eacta.php?IDENCUENTRO=131701032&EL=ARTEAL&EV=CD DEZ PORTAS LUGAUTO&IDJORNADA=100&IDNIVEL=17#acta","3","CD DEZ PORTAS LUGAUTO","16104","2016-2017","17:00","17","4","2","1274","ARTEAL"
